SOR,DTA,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
1,29/09/2003,,1,1,,1,1,,,1,1,1,,1,1,,1,,1,,1,,,1,1,1
2,06/10/2003,1,,,1,1,1,1,,1,,1,1,1,,1,1,,,1,1,,,1,1,
3,13/10/2003,1,,,1,,1,1,1,1,1,1,1,,1,,1,1,,,1,,,1,1,
4,20/10/2003,1,1,,1,1,,,1,,1,,1,1,,,1,1,1,1,,,,1,1,1
5,27/10/2003,1,1,,1,,,,1,1,,1,1,1,,1,1,,,1,1,,,1,1,1
6,03/11/2003,1,1,,1,1,1,1,,,1,,1,,,1,1,1,,1,,1,,1,,1
7,10/11/2003,1,,,1,,,1,1,,1,,1,,1,1,1,,1,1,,1,1,1,,1
8,17/11/2003,1,,,,1,1,,1,1,1,,,1,,1,1,1,1,1,1,,1,,,1
9,24/11/2003,,,1,1,1,,,,1,1,1,,1,,1,1,1,,1,1,1,,,1,1
10,01/12/2003,,1,1,1,1,1,,1,1,1,1,1,,1,,,,,1,1,,,1,1,
11,08/12/2003,,1,,,,1,1,1,1,1,1,1,,,,1,,,1,1,,1,1,1,1
12,15/12/2003,1,1,,1,1,,1,1,1,1,1,1,,1,,1,1,,,,,,,1,1
13,22/12/2003,,,1,,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,,,1,,
14,29/12/2003,1,1,,,1,1,1,,1,,,,1,1,1,,,1,1,1,1,,1,,1
15,05/01/2004,1,1,,1,,1,,1,,1,,1,,,1,1,,1,1,,1,,1,1,1
16,12/01/2004,,1,,,1,1,1,1,,1,,1,1,,1,,1,,1,,1,,1,1,1
17,19/01/2004,1,1,1,,1,1,1,,1,,,,1,1,,1,1,1,1,1,1,,,,
18,26/01/2004,,1,,,,1,1,1,,1,1,,,1,1,,1,1,1,1,,1,1,1,
19,02/02/2004,,1,,,1,1,1,1,,1,1,,1,1,1,1,1,,,1,,,1,1,
20,09/02/2004,,,1,1,,1,1,1,1,1,,,,1,,1,1,1,1,1,,,1,1,
21,16/02/2004,1,1,,1,1,,,1,,,1,,,1,,1,,1,1,1,,1,1,1,1
22,25/02/2004,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,,,,,,1,,,1
23,01/03/2004,1,,1,1,1,1,,1,,1,1,1,,1,,1,1,1,1,1,,,,,
24,08/03/2004,1,1,1,,1,,1,,,1,1,,,1,,,1,,1,1,1,,1,1,1
25,15/03/2004,1,1,1,1,1,1,1,,1,,,,1,1,,1,,,,1,,1,1,1,
26,22/03/2004,,,,,1,,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,,
27,29/03/2004,,,1,,,1,,1,,1,1,1,1,1,1,,,1,,1,1,1,,1,1
28,05/04/2004,1,,1,,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,,,
29,12/04/2004,1,,,1,1,1,,1,1,,,,1,1,,1,1,,1,1,1,1,,1,
30,19/04/2004,1,1,1,1,,1,1,1,,,1,,,1,,,1,,1,1,1,1,1,,
31,26/04/2004,1,1,1,1,,,,,1,,,,1,1,1,,1,,1,1,1,1,,1,1
32,03/05/2004,1,1,,1,,1,1,,1,1,1,,,1,1,1,1,,,1,,1,1,,
33,10/05/2004,1,1,,,1,,1,1,,1,1,1,,1,,1,,,1,1,1,,1,1,
34,17/05/2004,1,1,,1,,,1,1,1,1,1,,,,1,1,,1,1,1,1,,1,,
35,24/05/2004,1,,,1,1,1,,,,,1,1,1,1,,1,1,,1,,1,1,1,,1
36,31/05/2004,1,,,1,1,,1,1,,1,1,,,1,,,1,,1,1,1,1,1,1,
37,07/06/2004,1,,1,1,1,,,1,1,1,1,,1,,1,,,,,1,1,1,1,1,
38,14/06/2004,1,1,1,,,1,1,1,1,1,,,1,1,1,1,,,,,,1,,1,1
39,21/06/2004,,1,,,,,1,1,1,,1,,1,1,1,,1,1,1,,1,1,1,1,
40,28/06/2004,1,1,,,1,,1,1,,1,,1,1,1,,1,1,,,1,1,1,,1,
41,05/07/2004,,1,1,1,,,,,1,,,1,1,,1,1,1,1,1,1,1,,1,,1
42,12/07/2004,1,,1,1,1,1,,1,,,1,1,,1,1,,1,,,,1,1,,1,1
43,19/07/2004,1,,1,,,1,1,1,1,1,,,,1,,,1,1,1,1,,1,1,1,
44,26/07/2004,,,1,1,1,1,,,,1,1,1,1,1,,,,1,1,,1,,1,1,1
45,02/08/2004,1,1,1,,1,,1,,1,,,,,1,,1,1,1,1,,1,,1,1,1
46,09/08/2004,1,1,,1,1,1,,1,,1,1,,,1,,,,1,1,,1,,1,1,1
47,16/08/2004,1,1,1,1,1,1,,1,,1,1,,1,,1,,,1,,1,,1,,,1
48,23/08/2004,,1,,,1,1,1,,,,1,,1,,1,1,1,1,1,1,1,1,1,,
49,30/08/2004,,1,,1,1,1,,1,,,1,,1,,1,1,,,1,1,1,1,1,1,
50,06/09/2004,1,1,1,,,1,1,,1,1,1,1,1,,,,,,1,1,1,,1,,1
51,13/09/2004,1,,1,,1,1,1,1,,,1,,1,1,,1,1,,,1,1,1,1,,
52,20/09/2004,1,1,,1,,,,1,1,,1,1,1,,1,1,,,,,1,1,1,1,1
53,27/09/2004,1,1,1,,,1,1,,1,,1,1,,1,,,1,1,1,1,,,1,1,
54,04/10/2004,,1,,1,1,1,1,1,1,,,1,,1,,1,,1,,1,1,1,,1,
55,11/10/2004,,1,1,1,1,1,1,1,1,,,1,1,,1,1,,1,1,,,,,,1
56,18/10/2004,1,1,,,1,,,,1,,,1,1,1,1,1,1,,1,1,,1,1,1,
57,25/10/2004,1,1,1,1,,1,1,1,,,1,1,,,,,1,,1,1,1,1,,,1
58,01/11/2004,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,,,
59,08/11/2004,1,,1,,1,1,1,1,,1,1,,1,1,1,,,,1,1,,,1,,1
60,16/11/2004,1,1,1,1,1,,,1,,,1,,,,,1,1,1,1,,,1,1,1,1
61,22/11/2004,1,,,1,1,,,,1,,1,1,1,1,1,1,,,1,1,,1,1,,1
62,29/11/2004,1,,1,,,,1,1,1,,1,,1,1,1,1,1,1,,1,,,,1,1
63,06/12/2004,,,,1,,,,1,1,1,1,1,1,,,1,1,,1,1,1,1,,1,1
64,13/12/2004,1,1,1,,,1,1,1,1,1,,,1,1,,,1,1,,1,,,1,,1
65,20/12/2004,1,1,,1,,,1,,,1,,,,,1,1,1,1,1,1,1,1,1,,1
66,27/12/2004,1,1,,1,,,,1,,1,1,,,1,1,1,1,,,1,1,1,1,1,
67,03/01/2005,,,,,1,,1,1,1,1,1,1,1,,1,1,,,,1,1,1,1,1,
68,10/01/2005,1,1,1,,1,1,1,1,1,1,,1,,,,1,1,,,,,1,1,,1
69,17/01/2005,1,,,1,,,1,1,1,1,1,,,,1,,1,1,1,1,1,,1,1,
70,24/01/2005,1,1,1,,1,1,,,1,1,,1,,1,1,1,,,1,1,,,,1,1
71,31/01/2005,1,,1,,1,1,,1,1,,1,,1,1,1,1,,1,,,1,1,1,,
72,09/02/2005,1,1,,,1,,1,1,,,1,1,1,,1,1,1,1,,,,,1,1,1
73,14/02/2005,1,1,,,1,,1,,,1,1,,1,1,1,1,1,1,1,,1,,,,1
74,21/02/2005,1,1,1,1,1,1,,1,,,1,,1,,1,1,,1,,,,1,1,,1
75,28/02/2005,1,,1,1,1,1,1,1,,1,1,,1,,1,1,1,,,1,,,,,1
76,07/03/2005,1,,1,,1,,,1,1,1,,1,1,,1,1,1,,1,,1,,1,,1
77,14/03/2005,,1,1,1,,1,,1,1,,1,,,1,,,1,1,,1,1,1,,1,1
78,21/03/2005,1,1,1,,1,1,1,1,,,,1,1,,1,1,1,1,,1,,,1,,
79,28/03/2005,1,1,1,,1,,,,1,,,1,,1,1,,1,1,,1,,1,1,1,1
80,04/04/2005,1,1,1,1,1,,1,,1,1,,,,1,1,,1,1,,1,,1,,,1
81,11/04/2005,1,1,1,1,1,1,1,,,1,1,,1,,1,1,1,,1,,1,,,,
82,18/04/2005,1,,,1,1,1,,1,1,,,1,1,,1,,1,1,1,1,,1,1,,
83,25/04/2005,1,1,1,,1,1,,1,,1,1,1,1,1,,,,,,1,,,1,1,1
84,02/05/2005,1,1,,1,,1,,1,,,,1,,,1,1,1,,1,1,,1,1,1,1
85,09/05/2005,1,1,,,1,,1,1,1,,1,,1,1,1,1,,1,,,1,1,1,,
86,16/05/2005,,1,,1,1,1,,1,1,,,1,1,1,,,1,1,1,,,,1,1,1
87,23/05/2005,1,1,1,,1,,,1,1,1,1,,1,,1,,,1,,1,,1,,1,1
88,30/05/2005,1,1,,1,1,,,1,1,1,1,1,,1,,,1,1,1,,,,,1,1
89,06/06/2005,1,,,,,1,,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1
90,13/06/2005,1,1,1,,,,,1,,1,1,1,,,1,,1,,,1,1,1,1,1,1
91,20/06/2005,1,,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1
92,27/06/2005,1,1,,1,,1,,1,,,,1,1,1,1,,1,1,1,,1,1,,1,
93,04/07/2005,,1,,1,1,1,1,,1,1,,,1,,,,1,1,1,1,1,,1,1,
94,11/07/2005,,1,,1,,,,1,1,,1,1,1,,1,1,1,1,,,1,1,1,1,
95,18/07/2005,1,1,1,1,1,,,,,1,1,1,,1,1,,1,1,1,1,,1,,,
96,25/07/2005,,,1,1,,1,,,1,1,,1,,1,,1,1,1,1,,1,1,1,1,
97,02/08/2005,,,1,1,,1,,,,1,,1,1,1,1,,1,,1,1,,1,1,1,1
98,08/08/2005,1,1,,,1,1,,1,,1,1,,,,1,,1,1,,1,,1,1,1,1
99,15/08/2005,1,1,1,1,,,1,,,1,1,,1,1,,1,1,,,1,1,,,1,1
100,22/08/2005,1,,1,1,,,,1,1,1,1,1,1,1,,1,1,,,,,1,1,,1
101,29/08/2005,1,,1,,,1,1,,1,1,,,1,1,,1,1,,1,1,1,,1,1,
102,05/09/2005,1,1,1,1,,,1,,1,1,1,1,,,,,,1,1,,1,1,1,,1
103,12/09/2005,1,1,1,1,1,,1,1,,1,1,,,,,1,1,1,,,,1,1,,1
104,19/09/2005,,,,,1,1,1,,,1,1,,1,1,1,1,,1,1,,1,1,,1,1
105,26/09/2005,,,,1,,1,1,1,1,1,1,1,1,,1,,1,,1,,1,1,,,1
106,03/10/2005,1,1,1,1,1,1,,,,1,,1,1,1,1,,1,,,,,1,1,,1
107,10/10/2005,1,,1,1,,1,1,1,1,,1,1,,,1,,1,1,,,1,,,1,1
108,17/10/2005,1,1,,1,,,1,1,1,,1,1,,1,1,1,,1,,,,1,1,,1
109,24/10/2005,1,,1,,1,,1,,1,,1,1,1,,,1,,1,,1,1,,1,1,1
110,31/10/2005,1,,1,1,1,1,,,,,,1,1,1,,,1,,1,1,1,1,1,,1
111,07/11/2005,1,,,,1,1,,,,1,1,1,1,,1,,1,1,1,,1,1,,1,1
112,14/11/2005,1,1,1,1,,1,,,,1,1,,,1,1,,1,1,1,1,1,,1,,
113,21/11/2005,1,1,,1,1,1,,1,,,1,1,1,1,,,,,1,1,1,,,1,1
